Date	Price	Open	High	Low
"Jul 13, 2015"	"1,158.00"	"1,162.90"	"1,164.60"	"1,150.78"
"Jul 10, 2015"	"1,163.96"	"1,159.35"	"1,165.50"	"1,157.50"
"Jul 09, 2015"	"1,159.65"	"1,158.12"	"1,167.46"	"1,155.70"
"Jul 08, 2015"	"1,158.28"	"1,154.75"	"1,165.03"	"1,146.75"
"Jul 07, 2015"	"1,155.55"	"1,170.10"	"1,170.65"	"1,148.05"
"Jul 06, 2015"	"1,170.15"	"1,172.80"	"1,175.20"	"1,162.80"
"Jul 03, 2015"	"1,167.94"	"1,165.79"	"1,170.50"	"1,164.46"
"Jul 02, 2015"	"1,166.15"	"1,168.40"	"1,169.11"	"1,156.85"
"Jul 01, 2015"	"1,168.80"	"1,172.40"	"1,175.30"	"1,167.13"
"Jun 30, 2015"	"1,172.60"	"1,179.66"	"1,180.80"	"1,166.35"
"Jun 29, 2015"	"1,180.36"	"1,184.56"	"1,187.32"	"1,173.59"
"Jun 26, 2015"	"1,175.07"	"1,172.86"	"1,179.09"	"1,168.25"
"Jun 25, 2015"	"1,173.33"	"1,174.79"	"1,178.70"	"1,171.02"
"Jun 24, 2015"	"1,175.20"	"1,177.85"	"1,180.30"	"1,171.03"
"Jun 23, 2015"	"1,178.44"	"1,185.36"	"1,188.70"	"1,175.82"
"Jun 22, 2015"	"1,185.45"	"1,199.86"	"1,201.50"	"1,181.90"
"Jun 19, 2015"	"1,200.51"	"1,201.61"	"1,204.75"	"1,197.95"
"Jun 18, 2015"	"1,201.42"	"1,184.76"	"1,206.00"	"1,183.31"
"Jun 17, 2015"	"1,185.45"	"1,181.50"	"1,189.40"	"1,174.08"
"Jun 16, 2015"	"1,181.86"	"1,185.65"	"1,188.11"	"1,175.73"
"Jun 15, 2015"	"1,186.40"	"1,181.00"	"1,190.80"	"1,172.52"
"Jun 12, 2015"	"1,180.80"	"1,181.51"	"1,184.70"	"1,176.43"
"Jun 11, 2015"	"1,182.30"	"1,186.11"	"1,188.21"	"1,175.66"
"Jun 10, 2015"	"1,186.48"	"1,176.25"	"1,192.60"	"1,174.85"
"Jun 09, 2015"	"1,176.70"	"1,173.86"	"1,183.40"	"1,172.25"
"Jun 08, 2015"	"1,173.95"	"1,168.95"	"1,178.10"	"1,168.70"
